inventoryNumber;type;manufacturer;model;tagId
7;Scope;LeCroy;9304;
8;Probe;Tektronix;A6302;
13;Power Supply;Zentro Elektrik;LA30/5GA;
15;Widerstand;Norma;3A;
16;Widerstand;Norma;10A;
17;Probe;Tektronix;A6303;
21;Power Meter;Siemens;B4305;
22;Probe;Tektronix;P6021;(4, 41, 255, 226, 151, 101, 129)
24;Counter;Tektronix;DC 503;
25;Probe;Tektronix;TM503;
26;Counter;Philips;PM6622;
27;Amplifier;Tektronix;AM503;
36;Multimeter handheld;Görz;Unigor 3P;
39;Multimeter handheld;Görz;Unigor 3P;
43;Probe;Philips;PM9246;(4, 100, 231, 226, 151, 101, 128)
44;Insulation Tester;TES;1600;
49;Power Supply;Schaffner;NSG509;
52;Trafo;Philips;;
53;Trafo;Philips;;
54;Trafo;ZE;;
55;Power Supply;Kepco;BOP72-3M;
58;Power Supply;Wandel&Goltermann;GS3;
59;Power Supply;Wandel&Goltermann;GS1;
60;Power Supply;Zentro Elektrik;LA30/5GA;
61;Power Supply;Zentro Elektrik;LA30/5GA;
65;Power Supply;Dr.K.Witmer;IC-Triple 100;
70;Widerstand;Danbridge;DR6;
71;Widerstand;Zehnder&Schuepp;;
73;Power Supply;Dr.K.Witmer;IC-Triple 100;
74;Widerstand;Culatti;;
75;Widerstand;Culatti;;
76;Widerstand;Culatti;;
82;Multimeter handheld;Tektronix;DMM 850;
83;Probe;Tektronix;TM502A;(4, 46, 211, 226, 151, 101, 129)
84;Probe;Tektronix;AM503B;
85;Probe;Tektronix;A6302;
86;Probe;?;;
90;Power Supply;Dr.K.Witmer;IC-Triple 100;
91;Power Supply;Dr.K.Witmer;IC-Triple 100;
92;Power Supply;Dr.K.Witmer;IC-Triple 100;
93;Power Supply;Dr.K.Witmer;IC-Triple 100;(4, 110, 204, 226, 151, 101, 128)
97;Multimeter handheld;Agilent;U1252A;
103;Multimeter handheld;Fluke;189/FVF;
104;Multimeter handheld;Fluke;189/FVF;
105;Signal Analyzer;Hewlett Packard;3561A;
114;Power Supply;Dr.K.Witmer;IC-Triple 100;
115;Power Supply;Dr.K.Witmer;IC-Triple 100;
121;Scope;Tektronix;TDS224;
122;Power Supply;Tektronix;1101A;
123;Probe;Tektronix;P6202A;
124;Power Meter;Norma;D5235;
125;Isolator;Tektronix;A6902B;
134;Counter;Hewlett Packard;5384A;
136;Function Generator;Hewlett Packard;3324A;
137;Power Supply;Hewlett Packard;6624A;
138;Multimeter;Hewlett Packard;3478A;
139;C-Dekade;;;
141;Probe;;CA501;
143;Trafo;;;
144;Power Supply;;SM 3004-D;
150;Power Supply;;SM 7020-d;
151;Scope;;TDS210;
152;Scope;;TDS210;
154;EMV-Gerät;;711-0215 V1.1;
156;Probe;;1000:1 400MHz 6kv;
158;Multimeter handheld;;TX1;
159;Elektronische Last;;3302C + 3310C;
160;Scope;;TDS220;
161;Multimeter handheld;;83 Serie III;
162;Power Supply;;EX354RT;
164;Probe;;SI-9110;
165;Thermometer;;TES1303;
166;Power Supply;;IC-Triple Z;
169;Function Generator;;33210A;
178;Stromsenke;;;
180;Scope;;WP7300;
182;Probe;;HFP3500;
183;Power Supply;;HM8142;
186;Scope;;TDS2014;
187;Function Generator;;AFG3102;
188;Secutest SIII;;F02G01H00J01;
189;Multimeter handheld;;U1252A;
190;Multimeter handheld;;U1252A;
191;Multimeter handheld;;U1252A;
192;Multimeter handheld;;U1252A;
193;Multimeter handheld;;U1252A;
194;Multimeter handheld;;U1252A;
195;Signal Analyzer;;ZVL3;
196;Scope;;MSO4034;
197;Power Supply;;EX354Tv;
198;Power Supply;;EX354Tv;
199;Power Supply;;EX354Tv;
300;Power Supply;;EX354Tv;
301;NI-Gerät;;NI 6218 USB;
302;NI-Gerät;;NI 6216 USB;
303;Scope;;NI 5132 USB Scope;
304;Scope;;NI 5132 USB Scope;
305;Amplifier;;E-501.00+E507;
306;Scope;;MSO4034;
307;Thermometer;;GTH175/Pt;
308;LCR Meter;;LCR-Meter;
309;Scope;;U1604B;
310;Probe;;CWT03B UM;
311;Scope;;MSO4034B;
312;Power Supply;;EX354RT;
313;Power Supply;;EX354RT;
315;Multimeter handheld;;U1252B;
316;Multimeter handheld;;U1252B;
317;Multimeter handheld;;U1252B;
318;Multimeter handheld;;U1252B;
319;Power Meter;;UPM-DT-10AV;
320;RFID Reader;;ID ISC.LR200A;
321;Probe;;TCP0030;
322;NI-Gerät;;NI GPIB-USB-HS;
323;NI-Gerät;;NI 6036E DAQCard;
324;NI-Gerät;;NI 6035E PCI;
325;NI-Gerät;;NI 6711 PCI;
326;NI-Gerät;;NI 6008 USB;
327;NI-Gerät;;NI 6009 USB;
328;NI-Gerät;;NI 8451 USB-;
329;NI-Gerät;;NI 6210 USB;
330;NI-Gerät;;NI 9174 cDAQ;
331;NI-Gerät;;NI 9631 SBRIO;
332;NI-Gerät;;NI 9004 cRIO;
333;NI-Gerät;;NI 9103 cRIO;
335;NI-Gerät;;NI 9113 cRIO;
336;NI-Gerät;;NI 9201;
337;NI-Gerät;;NI 9215;
338;NI-Gerät;;NI 9215;
340;NI-Gerät;;NI 9263;
341;NI-Gerät;;NI 9401;
342;NI-Gerät;;NI 9401;
343;NI-Gerät;;NI 9411;
344;NI-Gerät;;NI 9425;
345;NI-Gerät;;NI 9474;
346;NI-Gerät;;NI 9478;
347;NI-Gerät;;NI 1454 Vision;
348;LCR Meter;;4263B;
349;Multimeter;;34401A;
350;Multimeter handheld;;U1252B;
351;EMV-Gerät;;CWS500N1;
352;EMV-Gerät;;CDN M2/M3;
353;EMV-Gerät;;50FH-006-100N;
354;NI-Gerät;;NI 9171 cDAQ;
355;Drucker;;TTP-245;
356;NI-Gerät;;NI 9870;
357;USB Galvanische Tr.;;USB-GT;
358;NI-Gerät;;NI 6514 PCI;
359;NI-Gerät;;NI 9211;
360;Scope;;HDO6104;
361;Wärmebildkamera;;PI200;
362;Waage;;ATX224;
363;Klimaschrank;;WK1-180/40;
364;Multimeter handheld;;U1252B;
365;Multimeter handheld;;U1252B;
366;Power Supply;;CS 500;
367;Function Generator;;ArbStudio 1102;
368;Amplifier;;MPA-40-40;
369;EMV-Gerät;;HyperLOG3080;
370;EMV-Gerät;;CDN M1;
371;EMV-Gerät;;CDN M2-10kHz;
372;EMV-Gerät;;CDN AF3;
373;EMV-Gerät;;CDN AF4;
374;EMV-Gerät;;CNV 504N1;
375;EMV-Gerät;;R 100N;
376;EMV-Gerät;;R 100N;
377;Multimeter;;U3606B;
378;Scope/Function Generator/Power Supply/DMM;;VB-8012;
379;Scope/Function Generator/Power Supply/DMM;;VB-8012;
380;Scope/Function Generator/Power Supply/DMM;;VB-8012;
381;Scope/Function Generator/Power Supply/DMM;;VB-8012;
382;Converter;;UPORT 1250I;
383;Reflowofen;;RO06;
384;Siebdrucker;;SP002;
385;Mikroskop;;Dino-Lite AM423;
386;Drucker;;9700PC;
387;Probe;;TDP0500;
389;Power Supply;;EX354RT;
390;Power Supply;;EX354RT;
391;Power Supply;;CPX200DP;
392;Power Supply;;CPX200DP;
393;Klimaschrank;;VC3-7018;
400;Pipette;;Research 100;
401;Pipette;;Acura 825;
402;Waage;;XS2002S;
403;Pumpe;;PSD/3;
404;Pumpe;;BVP-Z;
405;Magnetrührer;;RCT basic;
406;Magnetrührer;;R 1000;
407;Pumpe;; - ;
408;Pumpe;;senator 30;
409;Pumpe;;MOA-P101-JH;
410;Pumpe;;HN711 KN.18;
411;Druckmessumformer;;Midas C08;
412;Druckmessumformer;;Midas C08;
413;Druckmessumformer;;Tronic 891.13.590;
414;Auswertgerät Druckmessumformer;;Tronic line 909.40.500;
415;Druckmessumformer;;4283 A10;
416;Druckmessumformer;;ATM 232.0511.0347.00.U;
417;Heizplatte;;U 11.1 CH 2;
418;Anemometer;;PCE-423;
419;Thermometer;;;
420;Reflexionsmessung;;;
421;Kamera;;A601f-2;
422;Infrarot-Viewer;;Abris-M 1300;
423;Spektrometer;;MMS 1 UV/VIS;
424;Polymerisationsgerät;;Astralis 5;
425;Beleuchtungsmessgerät;;TES-1332A;
426;Durchflussmesser;;Q1.630;
427;Durchflussmesser;;Q1.250;
428;Durchflussmesser;;1100;
429;Laserleistungsmessung;;Nova Display;
430;Laserleistungsmessung;;PD300-SH;
431;Laserleistungsmessung;;3A-SH;
432;Lichtschranke;;LX-130R;
433;Lichtschranke;;LX-130T;
434;Distanzsensor;;PA-1801;
435;Drehzahlmessgerät;; - ;
436;Drehzahlmessgerät;;DT-6236C;
437;Drehzahlmessgerät;;DT-2259;
438;Messverstärker;;JR-LCC;
439;Kraftmessdose;;ACMM-K5;
440;Kraftmessdose;;KM10;
441;Induktivsonde;;MM 0002;
442;Ladungsverstärker;;Type 5001;
443;Beschleunigungsaufnehmer;;4344;
444;Beschleunigungsaufnehmer;;4508 002;
445;Kraftaufnehmer;;9213;
446;Kraftaufnehmer;;9203;
447;Riemenspannungsmessgerät;;VSM-1;
448;Datenlogger;;34970A;
449;Linearachse;;PLS-85-2SM-MLS;
450;Linearachse;;PLS-85-2SM-MLS;
451;Lichtquelle;;MTr 22;
452;Lichtquelle;;SAFO 300;
453;Lichtquelle;;;
454;Kamera;;Flexia C1 Zoom;
455;Multimeter Handheld;;ME-42;
456;Distanzmessgerät;;PLR 25;
458;Schallpegelmesser;;Typ 2226;
470;Plasmaofen;;Zepto;
471;Mikroskop;;S6D;
472;Mikroskop;;BX60M;
473;Lichtquelle;;Intralux 4000-1;
474;Flowbox;;GE02;
475;Lichtquelle;;15W/45cm-G13;
476;Lichtschranke;;FS-N11MN;
477;Kraftsensor;;KD45/GM40;
478;Pumpe;;V700/V855;
479;Pumpe;;VX4.10;
480;Vakuumglocke;;;
481;Spektrometer;;CCS100/M;
482;Lichtleistungsmessung;;PM100USB;
483;Lichtleistungsmessung;;SP142C;
484;Lichtleistungsmessung;;S302C;
485;Lichtleistungsmessung;;S120VC;
486;Kraftmesser;;BFG 1000N;
487;Kraftmesser;;BFG 200N;
488;Zug- Druckprüfung;;1446;
489;Kraftaufnehmer;;Serie K;
500;Endmassatz;;"BM1-D47-2
Code-Nr
516-964";
501;Endmassatz;;BM1-103-1   5156-943;
502;Innenmesschraube;;IMICRO;
503;Innenmesschraube;;IMICRO;
504;Höhenmessgerät;;Micro-Hite 600;
506;Innenmesschraube;;IMICRO;
507;Lehrring zu Innenmesschraube;;5Y 46502;
508;Lehrring zu Innenmesschraube;;5U 60402;
510;Gewinde-Grenzlehrdorn;;;
511;Gewinde-Grenzlehrdorn;;;
512;Gewinde-Grenzlehrdorn;;;
513;Gewinde-Grenzlehrdorn;;;
514;Gewinde-Grenzlehrdorn;;;
515;Gewinde-Grenzlehrdorn;;;
516;Gewinde-Grenzlehrdorn;;;
517;Gewinde-Grenzlehrdorn;;;
518;Gewinde-Grenzlehrdorn;;;
519;Gewinde-Grenzlehrdorn;;;
521;Lehrring zu Innenmesschraube;;CC 417;
522;Lehrring zu Innenmesschraube;;1K 121;
523;Lehrring zu Innenmesschraube;;1H 241;
525;Lehrring zu Innenmesschraube;;CC 1332;
526;Lehrring zu Innenmesschraube;;2M 431;
527;Lehrring zu Innenmesschraube;;2M 45;
528;Lehrring zu Innenmesschraube;;4G299;
529;Lehrring zu Innenmesschraube;;4G222;
530;Lehrring zu Innenmesschraube;;4G306;
531;Bügelmesschraube;;TESAMASTER;
534;Bügelmesschraube;;TESAMASTER;
535;Werkzeugmacherwinkel;;;
538;Federwaage;;;
539;Federwaage;;;
540;Federwaage;;;
541;Federwaage;;MedioLine 40025;
542;Federwaage;;;
543;Federwaage;;;
544;Federwaage;;;
555;Messuhr;;556;
556;Messuhr;;556;
557;Winkelmesser, Digital;;S 239;
558;Mess- & Kontrollplatte Granit;;;
559;Mess- & Kontrollplatte Granit;;;
560;Zentriermikroskop;;;
561;Bügelmesschraube;;TESAMASTER;
562;Messschieber;;DIGIMATIC ABS;
563;Phasenlehre;;;
565;Bügelmesschraube digital;;;
576;Innenmesschraube;;IMICRO;
577;Innenmesschraube;;IMICRO;
578;Innenmesschraube;;IMICRO;
579;Innenmesschraube;;IMICRO;
580;Innenmesschraube;;IMICRO;
581;Innenmesschraube;;IMICRO;
582;Innenmesschraube;;IMICRO;
583;Innenmesschraube;;IMICRO;
584;Innenmesschraube;;IMICRO;
585;Innenmesschraube;;IMICRO;
586;Innenmesschraube;;IMICRO;
587;Innenmesschraube;;IMICRO;
588;Innenmesschraube;;IMICRO;
589;Innenmesschraube;;IMICRO;
590;Innenmesschraube;;IMICRO;
591;Messuhr;;;
592;Messuhr;;TESA 300;
593;Messuhr;;G-1452-SI;
594;Messuhr;;G-1453-SI;
602;Drehmomentschlüssel;;753;
603;Drehmomentschlüssel;;Model SLO;
604;Gewinde-Lehrring;;;
605;Gewinde-Lehrring;;;
608;Gewinde-Lehrring;;;
610;Gewinde-Lehrring;;;
611;Gewinde-Lehrring;;;
612;Gewinde-Lehrring;;;
